ENST00000566782.1	ENSG00000261657	SLC25A26
ENST00000193322.3	ENSG00000081087	OSTM1
ENST00000428348.2	ENSG00000236022	RP11-160E2.16
ENST00000553991.1	ENSG00000259058	RP11-488C13.4
ENST00000555938.1	ENSG00000258674	CTC-260F20.3
ENST00000295065.5	ENSG00000162959	MEMO1
ENST00000458497.1	ENSG00000073331	ALPK1
ENST00000535489.1	ENSG00000130818	ZNF426
ENST00000553613.1	ENSG00000258602	RP11-7F17.7
ENST00000579767.1	ENSG00000265991	MIR4519
ENST00000572471.1	ENSG00000262721	AC106782.20
ENST00000404933.2	ENSG00000102172	SMS
ENST00000455366.1	ENSG00000234721	AC125421.1
ENST00000390236.1	ENSG00000211591	MIR762
ENST00000584605.1	ENSG00000266728	AC015688.3
ENST00000215912.5	ENSG00000100100	PIK3IP1
ENST00000412003.1	ENSG00000230447	CTF2P
ENST00000296525.3	ENSG00000164122	ASB5
ENST00000379406.3	ENSG00000172766	NAA16
ENST00000580370.1	ENSG00000265927	CTD-2532D12.5
ENST00000563777.1	ENSG00000260852	FBXL19-AS1
ENST00000355790.4	ENSG00000172731	LRRC20
ENST00000330714.3	ENSG00000183486	MX2
ENST00000581911.1	ENSG00000266765	CTD-2582D11.1
ENST00000404857.1	ENSG00000156113	KCNMA1
ENST00000217260.4	ENSG00000101282	RSPO4
ENST00000301764.7	ENSG00000167986	DDB1
ENST00000573863.1	ENSG00000262852	HSPB2
ENST00000566056.1	ENSG00000261487	AC135048.13
ENST00000430233.2	ENSG00000228520	RING1
ENST00000584003.1	ENSG00000266357	RP11-101O21.1
ENST00000570266.1	ENSG00000260911	RP11-196G11.2
ENST00000572507.1	ENSG00000262978	HSPB2-C11orf52
ENST00000568708.1	ENSG00000261124	AC135050.5
ENST00000343938.4	ENSG00000224051	GLTPD1
ENST00000376142.2	ENSG00000136754	ABI1
ENST00000517000.2	ENSG00000252809	AC135050.1
ENST00000576336.1	ENSG00000262766	RP11-196G11.4
ENST00000553634.1	ENSG00000258463	RP11-173D3.3
ENST00000607599.1	ENSG00000258289	CHURC1
ENST00000291495.5	ENSG00000160161	CILP2
ENST00000555979.1	ENSG00000258706	SLC20A1P3
ENST00000576242.1	ENSG00000262032	CT49
ENST00000563605.1	ENSG00000261385	RP11-388M20.2
ENST00000571962.1	ENSG00000262600	C11orf52
ENST00000558824.4	ENSG00000259337	IGHV1OR15-2
ENST00000575892.1	ENSG00000263343	RP11-388M20.7
ENST00000571486.1	ENSG00000262366	NDUFA3P6
ENST00000534898.4	ENSG00000100890	KIAA0391
ENST00000560680.1	ENSG00000259769	RP11-1360M22.2
ENST00000320451.6	ENSG00000197961	ZNF121
ENST00000433037.1	ENSG00000229341	TNXB
ENST00000264703.3	ENSG00000115226	FNDC4
ENST00000564743.1	ENSG00000260304	RP11-388M20.6
ENST00000553953.1	ENSG00000258397	RP11-173D3.2
ENST00000553066.1	ENSG00000196465	MYL6B
ENST00000581515.1	ENSG00000265632	AC069240.1
ENST00000492309.2	ENSG00000239471	RN7SL584P
ENST00000565152.1	ENSG00000260060	RP11-388M20.1
ENST00000550242.1	ENSG00000258244	OSTF1P1
ENST00000553658.1	ENSG00000258410	RP11-173D3.1
ENST00000576745.1	ENSG00000261925	RP11-388M20.9
ENST00000420610.1	ENSG00000235649	MXRA5P1
ENST00000380707.4	ENSG00000172062	SMN1
ENST00000397149.3	ENSG00000122692	SMU1
ENST00000554269.1	ENSG00000258780	BMS1P15
ENST00000547819.1	ENSG00000258254	RP11-162N7.1
ENST00000262302.9	ENSG00000095906	NUBP2
ENST00000580553.1	ENSG00000125695	RP11-51F16.8
ENST00000438550.1	ENSG00000236477	RPS24P1
ENST00000557586.1	ENSG00000258628	RP11-492D6.3
ENST00000391898.3	ENSG00000105483	CARD8
ENST00000362350.1	ENSG00000199220	Y_RNA
ENST00000452658.2	ENSG00000237335	PFDN6
ENST00000383560.4	ENSG00000206478	IER3
ENST00000551875.1	ENSG00000257817	RP4-601P9.2
ENST00000284690.3	ENSG00000089876	DHX32
ENST00000398758.2	ENSG00000232226	ARSFP1
ENST00000516650.1	ENSG00000252459	SNORA27
ENST00000375570.1	ENSG00000204375	XAGE1E
ENST00000547876.1	ENSG00000257517	RP4-601P9.1
ENST00000555186.1	ENSG00000259156	CHEK2P2
ENST00000451329.2	ENSG00000238056	PRRT1
ENST00000488394.2	ENSG00000243980	RN7SL702P
ENST00000280362.3	ENSG00000150787	PTS
ENST00000548488.1	ENSG00000257958	RP11-25E2.1
ENST00000335877.6	ENSG00000125818	PSMF1
ENST00000403660.3	ENSG00000186567	CEACAM19
ENST00000507359.3	ENSG00000183775	KCTD16
ENST00000435433.1	ENSG00000232730	FAM8A4P
ENST00000577090.2	ENSG00000262277	DIXDC1
ENST00000546696.1	ENSG00000257519	RP11-116D17.2
ENST00000393964.1	ENSG00000164611	PTTG1
ENST00000307980.2	ENSG00000172613	RAD9A
ENST00000251203.9	ENSG00000105717	PBX4
ENST00000420443.1	ENSG00000224060	ARSEP1
ENST00000515991.1	ENSG00000251800	U3
ENST00000384427.1	ENSG00000207156	RNU6-505P
ENST00000261017.5	ENSG00000138443	ABI2
ENST00000465598.1	ENSG00000239412	RPL21P71
ENST00000464192.1	ENSG00000241218	RP11-446H18.1
ENST00000225726.5	ENSG00000108588	CCDC47
ENST00000603439.1	ENSG00000271579	RP11-116D17.3
ENST00000462168.1	ENSG00000241202	ZIC4-AS1
ENST00000557528.1	ENSG00000258654	RP11-509A17.3
ENST00000503362.1	ENSG00000129128	SPCS3
ENST00000443820.1	ENSG00000225117	ARSDP1
ENST00000492269.1	ENSG00000240804	NPM1P28
ENST00000470739.1	ENSG00000239661	RP11-78O22.1
ENST00000361314.4	ENSG00000116157	GPX7
ENST00000459119.1	ENSG00000239083	snoU13
ENST00000550378.1	ENSG00000258108	RP11-1028N23.3
ENST00000552780.1	ENSG00000257410	RP11-2H8.2
ENST00000581090.1	ENSG00000265002	AC026495.1
ENST00000408504.1	ENSG00000221431	AC092925.1
ENST00000194530.3	ENSG00000082146	STRADB
ENST00000548457.1	ENSG00000258280	RP11-1028N23.2
ENST00000552838.1	ENSG00000257991	RP11-2H8.3
ENST00000467198.1	ENSG00000239922	RP11-71N10.1
ENST00000422431.1	ENSG00000143469	SYT14
ENST00000300215.3	ENSG00000166947	EPB42
ENST00000550293.1	ENSG00000257802	MRS2P2
ENST00000493160.1	ENSG00000206159	GYG2P1
ENST00000568177.1	ENSG00000260285	RP11-600F24.7
ENST00000366787.3	ENSG00000186340	THBS2
ENST00000418600.2	ENSG00000197283	SYNGAP1
ENST00000516660.1	ENSG00000252469	RNU7-160P
ENST00000556332.1	ENSG00000258851	RP11-894P9.2
ENST00000467017.1	ENSG00000243574	RP11-264K23.1
ENST00000364314.1	ENSG00000201184	RNU4-68P
ENST00000265070.6	ENSG00000113384	GOLPH3
ENST00000583855.1	ENSG00000264904	AL139300.1
ENST00000470677.1	ENSG00000241324	RP5-921G16.2
ENST00000498989.2	ENSG00000246451	RP11-894P9.1
ENST00000263056.1	ENSG00000107968	MAP3K8
ENST00000266269.5	ENSG00000100105	PATZ1
ENST00000577063.1	ENSG00000262942	ZNF676
ENST00000551940.1	ENSG00000257407	RP11-1028N23.4
ENST00000473520.1	ENSG00000230268	SSU72P8
ENST00000374144.3	ENSG00000177354	C10orf71
ENST00000246166.2	ENSG00000257365	FNTB
ENST00000577120.1	ENSG00000262774	ZNF92P2
ENST00000582228.1	ENSG00000266553	RN7SL356P
ENST00000486088.1	ENSG00000241656	UBA52P7
ENST00000576851.1	ENSG00000262856	PCGF7P
ENST00000488511.2	ENSG00000243225	RP11-7F17.1
ENST00000517870.1	ENSG00000182183	FAM159A
ENST00000466711.2	ENSG00000240205	RN7SL865P
ENST00000269197.5	ENSG00000141431	ASXL3
ENST00000549163.1	ENSG00000257781	RP11-110L15.1
ENST00000311638.3	ENSG00000174796	THAP6
ENST00000392993.2	ENSG00000175066	GK5
ENST00000441058.2	ENSG00000228425	VPS52
ENST00000419899.1	ENSG00000229325	ACAP2-IT1
ENST00000318631.3	ENSG00000180834	MAP6D1
ENST00000280193.2	ENSG00000150630	VEGFC
ENST00000286091.4	ENSG00000155660	PDIA4
ENST00000434369.1	ENSG00000227433	AC069213.4
ENST00000338832.2	ENSG00000188771	PLET1
ENST00000259205.4	ENSG00000136688	IL36G
ENST00000384638.1	ENSG00000207368	Y_RNA
ENST00000576939.1	ENSG00000262520	KRTAP4-16P
ENST00000240364.2	ENSG00000121104	FAM117A
ENST00000574465.1	ENSG00000262121	KRTAP4-9
ENST00000546033.1	ENSG00000255807	PTP4A1P2
ENST00000466490.2	ENSG00000144867	SRPRB
ENST00000428453.1	ENSG00000180229	HERC2P3
ENST00000434556.1	ENSG00000232845	TRAPPC2P9
ENST00000573418.2	ENSG00000263229	KRTAP4-11
ENST00000595053.1	ENSG00000268472	AP002884.2
ENST00000548885.1	ENSG00000258115	RP11-89M22.3
ENST00000542587.1	ENSG00000064547	LPAR2
ENST00000571271.1	ENSG00000263236	KRTAP4-12
ENST00000363196.1	ENSG00000200066	Y_RNA
ENST00000258704.3	ENSG00000136206	SPDYE1
ENST00000379936.2	ENSG00000132259	CNGA4
ENST00000606110.1	ENSG00000271963	CTD-2140B24.6
ENST00000549957.1	ENSG00000236333	TRHDE-AS1
ENST00000585210.1	ENSG00000264450	RP5-1110E20.1
ENST00000418213.1	ENSG00000237302	OFD1P11Y
ENST00000371538.3	ENSG00000162377	COA7
ENST00000516777.1	ENSG00000252586	AC002992.1
ENST00000381172.3	ENSG00000227447	XGPY
ENST00000339381.5	ENSG00000169962	TAS1R3
ENST00000465341.3	ENSG00000240991	RPL23AP67
ENST00000372977.3	ENSG00000137413	TAF8
ENST00000546414.1	ENSG00000257683	RP11-110L15.2
ENST00000363242.1	ENSG00000200112	SNORD56
ENST00000544259.1	ENSG00000255919	AC226150.3
ENST00000263025.4	ENSG00000102882	MAPK3
ENST00000418624.1	ENSG00000231540	TCEB1P9
ENST00000434773.1	ENSG00000226863	SHROOM2P1
ENST00000459076.1	ENSG00000239190	RNU6-717P
ENST00000344646.5	ENSG00000172671	ZFAND4
ENST00000459107.1	ENSG00000238443	Y_RNA
ENST00000421995.1	ENSG00000223362	CDY15P
ENST00000549725.1	ENSG00000258034	RP11-493P1.2
ENST00000306156.3	ENSG00000171132	PRKCE
ENST00000363795.1	ENSG00000200665	RNU6-1188P
ENST00000397764.3	ENSG00000214194	LINC00998
ENST00000430517.1	ENSG00000233774	MED14P1
ENST00000279488.7	ENSG00000139318	DUSP6
ENST00000414395.1	ENSG00000231026	XKRYP4
ENST00000506197.2	ENSG00000250317	SMIM20
ENST00000385232.1	ENSG00000207967	MIR620
ENST00000417797.1	ENSG00000224571	USP9YP13
ENST00000609969.1	ENSG00000272597	RP11-446H18.6
ENST00000381894.3	ENSG00000125895	TMEM74B
ENST00000408062.1	ENSG00000220989	AC063944.1
ENST00000482796.1	ENSG00000251184	RP11-101E3.5
ENST00000451037.2	ENSG00000154975	CA10
ENST00000609293.1	ENSG00000273125	RP11-115H18.1
ENST00000427537.1	ENSG00000226369	USP9YP11
ENST00000373218.4	ENSG00000148730	EIF4EBP2
ENST00000435974.2	ENSG00000174792	C4orf26
ENST00000368986.4	ENSG00000112333	NR2E1
ENST00000447750.2	ENSG00000203879	GDI1
ENST00000372586.3	ENSG00000175283	DOLK
ENST00000500215.3	ENSG00000246548	RP11-7F17.5
ENST00000450481.1	ENSG00000227871	USP9YP12
ENST00000379731.4	ENSG00000086062	B4GALT1
ENST00000471841.1	ENSG00000171109	MFN1
ENST00000336278.4	ENSG00000168807	SNTB2
ENST00000587331.1	ENSG00000213892	CEACAM16
ENST00000516108.1	ENSG00000251917	RNU1-86P
ENST00000504184.2	ENSG00000213888	AC005003.1
ENST00000400633.1	ENSG00000215595	C20orf202
ENST00000446837.2	ENSG00000171595	DNAI2
ENST00000437794.1	ENSG00000231423	RAB9AP5
ENST00000398600.2	ENSG00000157601	MX1
ENST00000294353.6	ENSG00000162378	ZYG11B
ENST00000464359.2	ENSG00000241469	LINC00635
ENST00000490594.1	ENSG00000251012	RP11-484M3.5
ENST00000328848.4	ENSG00000182117	NOP10
ENST00000287139.3	ENSG00000156574	NODAL
ENST00000378891.5	ENSG00000107404	DVL1
ENST00000283228.2	ENSG00000153233	PTPRR
ENST00000301037.5	ENSG00000167524	SGK494
ENST00000420338.2	ENSG00000197604	AC022532.1
ENST00000415638.3	ENSG00000099769	IGFALS
ENST00000429927.2	ENSG00000138769	CDKL2
ENST00000331457.4	ENSG00000185721	DRG1
ENST00000499670.2	ENSG00000246731	CTD-2514K5.2
ENST00000412651.2	ENSG00000236649	PPT2
ENST00000409241.1	ENSG00000244588	RAD21L1
ENST00000263563.6	ENSG00000107719	PALD1
ENST00000264234.3	ENSG00000114638	UPK1B
ENST00000583018.1	ENSG00000264272	CTD-2514K5.4
ENST00000399002.2	ENSG00000172296	SPTLC3
ENST00000356033.4	ENSG00000189159	HN1
ENST00000373294.5	ENSG00000122145	TBX22
ENST00000334619.2	ENSG00000110148	CCKBR
ENST00000379374.4	ENSG00000102174	PHEX
ENST00000440926.1	ENSG00000036565	SLC18A1
ENST00000375661.5	ENSG00000204392	LSM2
ENST00000456092.1	ENSG00000214982	PARGP1
ENST00000333756.4	ENSG00000184507	NUTM1
ENST00000490465.1	ENSG00000241131	RP11-639B1.1
ENST00000367012.3	ENSG00000082497	SERTAD4
ENST00000372577.2	ENSG00000095319	NUP188
ENST00000351989.3	ENSG00000128191	DGCR8
ENST00000408530.2	ENSG00000221457	AC092958.1
ENST00000476987.1	ENSG00000241792	RP11-501O2.1
ENST00000574386.1	ENSG00000263206	KYNUP3
ENST00000429323.1	ENSG00000229464	RP11-481A12.6
ENST00000280295.3	ENSG00000150722	PPP1R1C
ENST00000429190.2	ENSG00000227351	NANOGP6
ENST00000477153.1	ENSG00000244650	RP11-501O2.3
ENST00000524665.1	ENSG00000149294	NCAM1
ENST00000429104.1	ENSG00000178440	LINC00843
ENST00000484852.1	ENSG00000205412	HNRNPA1P20
ENST00000451099.1	ENSG00000235397	EPN2-AS1
ENST00000410176.1	ENSG00000222108	RNA5SP317
ENST00000581122.1	ENSG00000265263	RP11-135L13.4
ENST00000460324.1	ENSG00000243347	RP11-501O2.4
ENST00000456967.1	ENSG00000235618	RP11-324H6.5
ENST00000434409.1	ENSG00000227695	DNMBP-AS1
ENST00000408613.1	ENSG00000221540	MIR1180
ENST00000481334.1	ENSG00000242440	RP11-501O2.5
ENST00000448612.1	ENSG00000184465	WDR27
ENST00000579897.1	ENSG00000265126	CTB-187M2.2
ENST00000261531.7	ENSG00000100603	SNW1
ENST00000554836.2	ENSG00000258488	RP11-467L19.8
ENST00000437646.1	ENSG00000227078	AC004448.2
ENST00000553804.1	ENSG00000135424	ITGA7
ENST00000460914.1	ENSG00000241993	RPL38P1
ENST00000336915.6	ENSG00000141293	SKAP1
ENST00000583500.1	ENSG00000265335	snoMe28S-Am2634
ENST00000441052.1	ENSG00000235314	LINC00957
ENST00000492455.1	ENSG00000244089	HMGB1P30
ENST00000457608.1	ENSG00000226631	SLC9A3P3
ENST00000557027.2	ENSG00000258797	RP11-467L19.6
ENST00000601694.1	ENSG00000235979	AC004448.5
ENST00000445938.1	ENSG00000239775	AC017116.11
ENST00000488190.1	ENSG00000240521	RP11-680B3.2
ENST00000426317.1	ENSG00000233011	SLC9A3P1
ENST00000203556.4	ENSG00000089639	GMIP
ENST00000435916.1	ENSG00000225137	DYNC1I2P1
ENST00000547971.1	ENSG00000257287	RP11-98E6.1
ENST00000461599.1	ENSG00000241627	UBQLN4P1
ENST00000260403.2	ENSG00000137842	TMEM62
ENST00000582839.1	ENSG00000264652	MIR4649
ENST00000550751.1	ENSG00000257723	CHCHD3P2
ENST00000441259.1	ENSG00000180644	PRF1
ENST00000517039.1	ENSG00000252848	RNA5SP230
ENST00000439860.2	ENSG00000189343	RPS2P46
ENST00000437213.2	ENSG00000225303	RP11-512N4.2
ENST00000446144.2	ENSG00000181984	GOLGA8CP
ENST00000492461.1	ENSG00000239718	HLTF-AS1
ENST00000602827.1	ENSG00000270108	RP11-73M18.6
ENST00000379721.3	ENSG00000122711	SPINK4
ENST00000392422.2	ENSG00000146677	AC004453.8
ENST00000516141.1	ENSG00000251950	RMRPP4
ENST00000364161.1	ENSG00000201031	Y_RNA
ENST00000602722.1	ENSG00000269910	RP11-73M18.10
ENST00000459121.1	ENSG00000238523	RNU7-107P
ENST00000475771.1	ENSG00000240511	MED28P2
ENST00000327245.5	ENSG00000118322	ATP10B
ENST00000602669.1	ENSG00000269940	RP11-73M18.7
ENST00000295981.3	ENSG00000163702	IL17RC
ENST00000363586.1	ENSG00000200456	RNU6-1097P
ENST00000602422.1	ENSG00000269958	RP11-73M18.8
ENST00000438468.1	ENSG00000225443	AC004938.5
ENST00000433518.1	ENSG00000236294	TSRM
ENST00000577137.1	ENSG00000261999	RP11-629G13.1
ENST00000603255.1	ENSG00000271586	RP11-52M17.1
ENST00000602383.1	ENSG00000269963	RP11-73M18.9
ENST00000422747.1	ENSG00000236843	NRM
ENST00000282516.8	ENSG00000164190	NIPBL
ENST00000381873.3	ENSG00000101298	SNPH
ENST00000517287.1	ENSG00000253096	Y_RNA
ENST00000571997.1	ENSG00000263285	U7
ENST00000604583.1	ENSG00000270591	RP11-73M18.11
ENST00000537242.1	ENSG00000165862	PNLIPRP2
ENST00000574756.1	ENSG00000262033	NCAM1-AS1
ENST00000365405.1	ENSG00000202275	SNORD51
ENST00000314891.6	ENSG00000176454	LPCAT4
ENST00000397356.3	ENSG00000063854	HAGH
ENST00000556586.1	ENSG00000258735	LINC00637
ENST00000280800.3	ENSG00000151176	PLBD2
ENST00000576347.1	ENSG00000262659	RP11-839D17.3
ENST00000555967.1	ENSG00000258534	CTD-2134A5.4
ENST00000556653.1	ENSG00000258914	CTD-2134A5.3
ENST00000372181.1	ENSG00000122378	FAM213A
ENST00000580575.1	ENSG00000264439	AL136001.1
ENST00000379359.3	ENSG00000102760	RGCC
ENST00000485467.2	ENSG00000242894	RN7SL634P
ENST00000164227.5	ENSG00000069399	BCL3
ENST00000384836.1	ENSG00000207568	MIR203
ENST00000585167.1	ENSG00000266106	RP11-647F2.2
ENST00000516811.1	ENSG00000252620	RNU6ATAC24P
ENST00000516976.1	ENSG00000252785	AC103809.1
ENST00000371528.1	ENSG00000203995	ZYG11A
ENST00000363151.1	ENSG00000200021	RNA5SP448
ENST00000417011.1	ENSG00000223711	AC091633.3
ENST00000264151.5	ENSG00000128694	OSGEPL1
ENST00000380067.2	ENSG00000125434	SLC25A35
ENST00000430386.1	ENSG00000236770	AC079325.5
ENST00000468694.1	ENSG00000136279	DBNL
ENST00000262487.4	ENSG00000101230	ISM1
ENST00000425002.1	ENSG00000231027	AC079325.6
ENST00000454858.1	ENSG00000236844	AC091633.2
ENST00000369005.1	ENSG00000138162	TACC2
ENST00000324266.5	ENSG00000171853	TRAPPC12
ENST00000483063.1	ENSG00000115350	POLE4
ENST00000491431.1	ENSG00000197362	ZNF786
ENST00000569279.1	ENSG00000261222	CTD-2006K23.1
ENST00000420238.1	ENSG00000236425	AC090018.1
ENST00000472232.3	ENSG00000107262	BAG1
ENST00000485130.2	ENSG00000242443	RN7SL759P
ENST00000457750.1	ENSG00000224769	AC069213.1
ENST00000408427.1	ENSG00000221354	AC131280.1
ENST00000582959.1	ENSG00000264659	CTD-2006K23.2
ENST00000554414.2	ENSG00000258916	SPATA31E2P
ENST00000608379.1	ENSG00000272792	RP11-141C7.4
ENST00000359707.4	ENSG00000138757	G3BP2
ENST00000603917.1	ENSG00000271662	RP11-141C7.3
ENST00000553844.2	ENSG00000258707	RP11-467L19.11
ENST00000395473.2	ENSG00000168961	LGALS9
ENST00000423600.1	ENSG00000229178	AC069513.4
ENST00000323684.1	ENSG00000175809	ZNF645
ENST00000603166.1	ENSG00000270685	IGHV1OR15-6
ENST00000375318.2	ENSG00000151033	LYZL2
ENST00000207549.4	ENSG00000092929	UNC13D
ENST00000373365.4	ENSG00000124767	GLO1
ENST00000435953.2	ENSG00000231477	CTB-187M2.1
ENST00000545154.1	ENSG00000054392	HHAT
ENST00000327968.5	ENSG00000184735	DDX53
ENST00000556948.1	ENSG00000258590	NBEAP1
ENST00000576929.1	ENSG00000262487	AC004231.2
ENST00000582654.1	ENSG00000263726	CTB-187M2.3
ENST00000574614.1	ENSG00000262616	KRTAP3-4P
ENST00000229179.4	ENSG00000111581	NUP107
ENST00000422360.2	ENSG00000228331	RPL17P43
ENST00000575879.1	ENSG00000262376	KRTAP2-5P
ENST00000461341.2	ENSG00000240216	CPHL1P
ENST00000557610.1	ENSG00000258748	CTD-2223O18.1
ENST00000578183.1	ENSG00000266079	SNORA59B
ENST00000564214.1	ENSG00000260409	RP11-403B2.7
ENST00000555282.1	ENSG00000258913	RP11-260M19.2
ENST00000379361.4	ENSG00000165186	PTCHD1
ENST00000417777.1	ENSG00000236736	UQCRC2P1
ENST00000451485.1	ENSG00000223552	RP11-24F11.2
ENST00000440408.1	ENSG00000233864	TTTY15
ENST00000583198.1	ENSG00000264306	AC104304.2
ENST00000557687.1	ENSG00000258598	RP11-260M19.1
ENST00000537000.1	ENSG00000256354	AC104304.1
ENST00000555531.1	ENSG00000256206	PSMA1
ENST00000494231.1	ENSG00000240423	LINC00636
ENST00000334744.4	ENSG00000186314	PRELID2
ENST00000578681.1	ENSG00000198231	DDX42
ENST00000434016.1	ENSG00000165606	DRGX
ENST00000553000.1	ENSG00000257979	SNRPGP18
ENST00000607746.1	ENSG00000271856	RP11-861A13.4
ENST00000549373.1	ENSG00000258337	RP11-115H15.2
ENST00000400489.3	ENSG00000215522	DDR1
ENST00000337743.4	ENSG00000089123	TASP1
ENST00000578007.1	ENSG00000263768	AC060226.1
ENST00000408797.1	ENSG00000221724	AC078855.1
ENST00000548506.1	ENSG00000258346	RP11-148B3.2
ENST00000310454.6	ENSG00000115159	GPD2
ENST00000496620.1	ENSG00000243188	HNRNPA1P17
ENST00000274341.4	ENSG00000145681	HAPLN1
ENST00000317096.4	ENSG00000175193	PARL
ENST00000303927.3	ENSG00000170955	PRKCDBP
ENST00000284601.3	ENSG00000154415	PPP1R3A
ENST00000458964.1	ENSG00000238472	snoU13
ENST00000361673.3	ENSG00000198796	ALPK2
ENST00000404190.1	ENSG00000204021	LIPK
ENST00000289104.4	ENSG00000158186	MRAS
ENST00000436100.1	ENSG00000232230	TPM4P1
ENST00000313341.3	ENSG00000178403	NEUROG2
ENST00000570054.2	ENSG00000260914	RP11-343C2.11
ENST00000419445.1	ENSG00000164219	PGGT1B
ENST00000603270.1	ENSG00000270623	RP11-316M21.9
ENST00000271620.3	ENSG00000143363	PRUNE
ENST00000547563.1	ENSG00000258235	RP11-12K6.2
ENST00000359478.2	ENSG00000197614	MFAP5
ENST00000379341.4	ENSG00000123131	PRDX4
ENST00000489011.1	ENSG00000244468	RP11-206M11.7
ENST00000371764.4	ENSG00000124228	DDX27
ENST00000401265.1	ENSG00000216084	AC131213.1
ENST00000379310.3	ENSG00000102763	VWA8
ENST00000483312.1	ENSG00000243822	RP11-2G17.1
ENST00000445707.1	ENSG00000242086	LINC00969
ENST00000513104.1	ENSG00000069018	TRPC7
ENST00000393351.3	ENSG00000213296	RP5-1106E3.1
ENST00000551135.1	ENSG00000258294	RP11-314D7.1
ENST00000298181.5	ENSG00000187754	SSX7
ENST00000282096.4	ENSG00000152270	PDE3B
ENST00000254950.11	ENSG00000132612	VPS4A
ENST00000384485.1	ENSG00000207214	RNU6-102P
ENST00000398585.3	ENSG00000184012	TMPRSS2
ENST00000296862.1	ENSG00000164393	GPR111
ENST00000574267.1	ENSG00000262769	RP11-1113L8.1
ENST00000355832.5	ENSG00000225830	ERCC6
ENST00000453342.1	ENSG00000224897	POT1-AS1
ENST00000433364.1	ENSG00000240389	EGFL8
ENST00000449666.2	ENSG00000228983	AC025627.7
ENST00000259211.6	ENSG00000136694	IL36A
ENST00000261520.4	ENSG00000128915	NARG2
ENST00000270279.3	ENSG00000142273	CBLC
ENST00000371522.4	ENSG00000121310	ECHDC2
ENST00000332290.2	ENSG00000185127	C6orf120
ENST00000272322.4	ENSG00000143952	VPS54
ENST00000301295.6	ENSG00000160505	NLRP4
ENST00000418290.1	ENSG00000228411	CDY4P
ENST00000301149.3	ENSG00000167588	GPD1
ENST00000576220.1	ENSG00000263107	RP11-1113L8.2
ENST00000336777.5	ENSG00000241476	SSX2
ENST00000443919.1	ENSG00000236308	RP11-316M21.7
ENST00000582069.1	ENSG00000264037	MIR4472-2
ENST00000312989.7	ENSG00000172531	PPP1CA
ENST00000582078.2	ENSG00000266179	RP11-1113L8.6
ENST00000230085.8	ENSG00000112335	SNX3
ENST00000444359.1	ENSG00000227492	RP11-316M21.6
ENST00000552992.1	ENSG00000258018	RP11-148B3.1
ENST00000223500.8	ENSG00000086065	CHMP5
ENST00000585285.1	ENSG00000266036	MIR3615
ENST00000581999.1	ENSG00000264624	MIR3615
ENST00000397525.1	ENSG00000184708	EIF4ENIF1
ENST00000391162.1	ENSG00000212464	SNORA12
ENST00000369210.3	ENSG00000165863	C10orf82
ENST00000577295.1	ENSG00000263586	RP11-309N17.4
ENST00000252136.7	ENSG00000099899	TRMT2A
ENST00000453578.1	ENSG00000230224	PHBP9
ENST00000384632.1	ENSG00000207362	RNU6-422P
ENST00000410829.1	ENSG00000222761	RNU6-684P
ENST00000429420.1	ENSG00000231188	RP11-34D15.2
ENST00000451006.1	ENSG00000213159	CEND1P1
ENST00000516736.1	ENSG00000252545	RNU6-362P
ENST00000342295.1	ENSG00000168214	RBPJ
ENST00000485340.2	ENSG00000239607	RN7SL573P
ENST00000604684.1	ENSG00000270993	RP11-1112G13.3
ENST00000436087.2	ENSG00000183621	ZNF438
ENST00000537595.1	ENSG00000256545	AL139819.1
ENST00000455685.1	ENSG00000232724	AC111186.1
ENST00000454935.1	ENSG00000235823	LINC00263
ENST00000607661.1	ENSG00000271900	RP11-1113L8.7
ENST00000382142.3	ENSG00000150712	MTMR12
ENST00000339209.4	ENSG00000130024	PHF10
ENST00000427400.1	ENSG00000227225	MTND1P14
ENST00000391023.1	ENSG00000212325	Y_RNA
ENST00000383986.1	ENSG00000206713	Y_RNA
ENST00000608396.1	ENSG00000273030	RP11-285F16.1
ENST00000584339.1	ENSG00000265800	RP11-649A18.5
ENST00000378198.4	ENSG00000111802	TDP2
ENST00000467595.3	ENSG00000242752	TRNAQ41P
ENST00000302851.3	ENSG00000171469	ZNF561
ENST00000410140.1	ENSG00000222072	Y_RNA
ENST00000579554.1	ENSG00000263786	RP11-649A18.4
ENST00000417560.3	ENSG00000228725	MTND2P12
ENST00000516233.1	ENSG00000252042	Y_RNA
ENST00000417314.2	ENSG00000163376	KBTBD8
ENST00000325795.3	ENSG00000128699	ORMDL1
ENST00000580169.1	ENSG00000265242	RP11-649A18.7
ENST00000459002.1	ENSG00000239069	Y_RNA
ENST00000264717.2	ENSG00000084734	GCKR
ENST00000349394.5	ENSG00000182379	NXPH4
ENST00000505019.1	ENSG00000138658	C4orf21
ENST00000333385.6	ENSG00000184616	AC004166.6
ENST00000334636.5	ENSG00000186104	CYP2R1
ENST00000283303.2	ENSG00000153294	GPR115
ENST00000296591.5	ENSG00000164176	EDIL3
ENST00000348428.3	ENSG00000172175	MALT1
ENST00000306875.4	ENSG00000213380	COG8
ENST00000259021.4	ENSG00000136504	KAT7
ENST00000382666.4	ENSG00000180185	FAHD1
ENST00000533448.1	ENSG00000175868	CALCB
ENST00000379303.5	ENSG00000123130	ACOT9
ENST00000455572.1	ENSG00000230046	BIRC6-AS1
